Speaker,Dialogue
woman doctor,What did you say?
kimble,Nothing.
technician,"Sorry, I thought you were Ricky."
kimble, No... I've got to clean the blinds in the office. Want me to wait till you're finished?
technician,Naw... I'm going to be here all night. You won't bother me.
kimble,Fine.
anne,You find that sign?
kimble,"Yes, I did."
anne,You called me an asshole.
kimble,Excuse me. I was having a bad shift.
anne,You worked at other hospitals?
kimble,"Lots of them over the years. Here, long ago. Hasn't changed much."
anne,I bet it hasn't. See you.
punk kid, Hey. Hey! I know that guy!
anne,What happened?
orderly,A bus flipped off the overpass. Got at least twenty more coming in.
anne,What about this one here?
orderly,Fractured sternum. X-ray's coming up.
anne,"Okay, we've got to get some room in this hallway, people."
anne,"Hey, take this one up the hall to Critical Care."
kimble,Hey. Hey!
kimble,They just sent this one up.
surgeon,"Bob! Get this one into room four, stat."
anne,"Gladys, where's the boy I sent down with the janitor?"
gladys,What boy?
anne,The one with the fractured sternum.
gladys,He never came in here.
kimble,Wrong...
anne,"Dave, did you see a janitor come up here earlier?"
surgeon,"Yeah, he brought a kid up.  Anne, did you write the orders? I couldn't make out the signature..."
anne,I saw -
surgeon, Whoever did knew what the hell he was doing. Kid's a hair away from a ruptured aorta.
kimble,"Seventy-five. Hell, yes."
kimble,What else?
kimble,What do you mean?
anne,I saw you looking at that boy's chest film.
kimble,It's a hobby of mine -
anne,What other hobbies do you have? Brain surgery?
kimble,What do you want?
anne,I want to know how that kid ended up in surgery.
kimble,I'm a janitor. I did what I was told.
anne,Bullshit. Who changed those orders?
anne,You stand right here. I'm calling security.
gerard,A man posing as a janitor orders an emergency operation and all you do is pull his I.D.?
anne, A little boy's alive today because he did something.
gerard,"So, you weren't aware that when he escaped he was being transported to Menard State Prison to begin a term of life imprisonment."
anne,For what?
gerard,For murdering his wife.
gerard,"Thank you for your help, Doctor."
renfro,"What I can't figure is, if you were Kimble, why'd you take a major league chance of hanging around a trauma ward?"
renfro,The place would be crawling with cops.
man,Can I help you find something?
gerard,"Thank you, sir, I think you already have."
kimble,"Yes... This is Dr. Elway at Cook County. I'm doing follow-up work for the Prosthetic Clinic on Matthew Zelick...  He did... I'm terribly sorry. No, I'll correct our files. Thank you."
gerard,The onearmed man. Missing the right or left hand?
poole,Right.
gerard,Location of the attachment.
poole, Mid-humerus.
kimble,No kidding?... Armed robbery.  He's where?
renfro,It could take us a week to track down every one of those names.
gerard, Stevens... I've got a list of names I want searched for criminal history.
elevator cop, Comin' or not?
cops,"Aw, shit... Not now... Anybody bring a deck of cards?"
clearing officer, Booth Three. No hands on the glass. Five minutes maximum. Be advised that under a Federal court ruling your conversation can be recorded. Next.
clearing officer,Name of inmate?
kimble,Clive Driscoll.
clearing officer,"Sign here, print your name, address, and relationship to inmate below.  Be about five minutes. You can wait in the hall."
gerard, We need to see a prisoner.
desk clerk,Fifth floor.
biggs,It's hinky. Man risks everything to find a man his own investigators say doesn't exist. Something's really hinky about this thing.
gerard,I hate that word.
clearing officer,Visitor for Driscoll...?
clearing officer,Booth seven. No hands on the glass. Be advised...
driscoll,So who are you?
kimble,Sorry. I made a mistake.
driscoll,"Shit, that's okay. Stick around a few minutes, talk about whatever you want..."
driscoll,"... They're not exactly wired for cable downstairs, y'know?"
gerard,Where're the damn stairs?
biggs,It's five flights!
gerard,Then you wait.
gerard, Kimble.
gerard,Kimble!
kimble,Officers - there's a man in the stairwell waving a gun and screaming.
gerard,"U.S. Marshal! Get on the phone, call your commander, tell him there's a top-fifteen warrant in the building. Go."
gerard,Kimble. Stop!
gerard,Down. down. everybody down!
gerard,Kimble. Stop!
gerard,Open the doors!
nichols,Richard... Alex Lentz.
secretary,U.S. Marshal's office...
secretary,It' 9 Kimble on line three.
gerard,"Renfro, Biggs..."
gerard,This is Gerard.
gerard,"You told me, you didn't kill your wife."
kimble,Remember what you said to me?
gerard,I remember you were pointing my gun at me.
technician, He's on the southside.
gerard,"That's right, Kimble... I'm not trying to solve a puzzle here. I'm just the poor working man that's paid to hunt you down."
renfro, He's in Pullman area... Fifteen seconds for location.
kimble,"Well, I am trying to solve the puzzle, Gerard and I just found a piece."
technician,Three seconds.
gerard," You can't control this thing, Kimble... Kimble?"
gerard, Where is he?
renfro, Holy shit. We've got a car there right now.
kimble,This an R.D.U.90 patient?
forensic tech,"Inspector, we're ready for you to look at this."
forensic tech,"Kimble's prints are all over the apartment, but the concentration is here."
forensic tech,He flips through the pack but paused here.
gerard,Let me see the negatives.
gerard,One's missing.
sykes,What the hell's going on here? Who are you people?
gerard,"You had a break-in, Mr. Sykes."
sykes,You a cop?
gerard,My name is Gerard. U.S. Marshal's Office.
gerard,This morning a fugitive named Richard Kimble made a call from your apartment.
sykes,Richard Kimble... I don't know a Richard Kim -
sykes,Wait a minute... This is the doctor who killed his wife... He claimed the killer had a prosthetic limb. You telling me he's coming after me?
gerard,Would he have a reason to?
sykes,What the hell's that supposed to mean? Because I have this?
sykes,"Look, a year ago some people came to see me. They asked me questions about the night of the murder and I'll tell you the same thing I told them. I wasn't even in town then. I was on a business trip."
gerard,"What kind of business are you in, Mr. Sykes?"
sykes,Security.
gerard,Independent?
sykes,"No, I work for a pharmaceutical company. I handle security for its top executives."
gerard,Any idea why Kimble would be interested in these?
sykes,No. Just some doctors on a company junket.
sykes," Look, you mind if I talk to the cops to see if anything's missing?"
gerard,By all means.
renfro,"He's pulling our chain, Sam. If this was the guy Kimble was looking for, why call us?"
gerard,"Kimble said he's putting together a puzzle. We don't need to put it together too, we just need to be there when he gets to the next piece."
gerard,Keep somebody on him. If he moves I want to know.
operator," I'm sorry sir, Dr. Nichols is at a medical conference at the Hilton."
kimble,It's very important I reach him.
