Speaker,Dialogue
pike," Well,..why don't you answer me, you dapnned yellow.-livered trash? The brothers fide, et., look at each other."
lyle,"Ah.--' Pike, you know..."
pike, I don't know a damned thing except I either lead this bunch or I end it -- right now;
lyle,"No, sir -- we divide just as you say. Pike looks at them a moment, then picks up his knife and alicea open a bag and -turns it upside down and dumps the contents onto the spread-out poncho watching as:"
tector,"Rings:, Steel rings!"
pike, Son of a bitch! 121 LYLE'S BOOT FLASHES INTO THE PILE. The washers fly in all directions. Lyle whirls on Pike.
lyle,Washers...we shot our way out of that town for a dollar's worth of steel holes. He kicks into the pile and scatters Washers across the clearing.
pike,They set it up:
lyle,. Who the hell is 'they!!?
sykes," Caught you, didn't they? Tied a tin can to your tail -- didn't they? Lead you in and waltzed you out -- Oh my what a bunch -- big tough ones -- standing around with a handful of holes -- a thumb up your ass and a big grin to pass the time of day with. 122 TECTORSWINGS AT HIM, BUT THE OLD MAN DUCKS, then falls and rollsaway, still laughing. Tector starts'to follow, Pike stepsbetween them."
pike,Railroad men -- Pinkertons -- bounty
sykes, Deke Thornton? -- He was with. them?
lyle,(as Pike doesn't answer;
angel,". Hey, gringo; You take my share."
angel,"Don't kill me, gringo ...por favor... Take my share of the 'silver' -- but"
pike,",k for it I Tector-, looking at Angel's gun, half turns to Pike."
dutch, What's our next move?
pike,Agua Verde is the closest three days maybe -- then we sell the extra stock -- get some griib and the news and drift back to the border -- maybe a payroll -- maybe abank --
tec tor,That railroad sire bsi hell ain't getting 4ny easier.
lyle, All your fancy planning and talk damn near got us shot to pieces for.some lousy bags of washers... Now this was goin.' to be our last job before we head south ...We spent all our time and money getting ready for this.
lyle, He --.he was making plans while me and Tector was -- He breaks up and can't continue.
dutch," By two -- mind you, two -- Hondo whores -- while Pike's dreaming of washers - you're matching two of them -- in tandem And the wild bunch falls apart in laughter -- even Pike is caught, but as he laughs, he knows that they are together again."
thornton,Not close enough... They're across the border by now. -
coffer,Deke - you rode with. Pike -- what kind of a man are we up against?
thornton, The best --
fess,How was it -- then mm  You know -- in the old days? I only come out here last spring.
thornton, You can saddle up or shut up -- take your choice --
coffer," ""What will he do?"
thornton,That's what I have to figure.
coffer,Maybe they'll split up.
thornton,No -- not 'that. bunch. They'll try again. - -
pike,Didn't you run some kind of mine -- in Sonora?
dutch,"Yeah, I helped run a little copper -- nothing for us there except day wages, if it was running now -- which it ain't."
pike,"Why in the hell, did you ever quit it?"
dutch,Why in hell are you still goin'?
pike,"I don.'t know""any better -- maybe don't want any better,  Hell, I wouldn't know what to do with 'better' if it poked me.in the eye with a sharp stick."
dutch, You -never gave it :a chance9 Pike.
dutch,"You got a halfway hard mouth, partner."
pike,"What in hell do you want me to-say ,-?"
dutch,"Just don't give me, no lectures.. They are silent -- finally:"
dutch,Back off to what?  Any real ideas for a next one? Pike closes his eyes and leans back.
pike,Pershing. has. got men spread over the whole border. Everyone of those garrisons is going to be.gptting payroll.
dutch,That kind of information is kind of. rough to come by.
pike," Well -- I don't figure it's going to .be easy, but it can be done."
pike,"I wouldn',t have it any other way."
coffer,Why not ?..
thornton,He'll be back.
coffer,Harrigan ' said something about thirty days --
thornton," That's what he said,"
dutch,You must have hurt that railroad pretty bad -- they spent a lot of time and money getting that ambush set up for us.
pike," Well, I caught up to them -- two or three times -- There was a man named Harrigan -- He had a certain way of doing things -- So I made him change his ways -- when you do that to a narrow man -- he can't live with it - from then on he's got to change you -- break you -- just to prove he's.right -- there-'s a hell of a lot of people, Dutch -- that just can't stand to be wrong."
dutch,"Pride, I guess"
pike,I guess -- but they can't ever forget it -- that pride that being wrong or learn by it.
dutch, And you -- and me --did we learn -- being wrong today?
dutch,Where'd you find him?
pike,". That toothless old wreck was a real gun about twenty years back -- used to run with Thornton and me killed his share and more -- around ----Langery -- Ambushed stages all along that old board highway.,.He had those Swede immigrants so scared theyQd starve rather than go to town and by beans for their kids, and there wasn't a sheriff in. the territory to take issue -- He laughs, drinks the coffee and gags.."
dutch," - Pike, I wouldn?t have it no other -way aither."
pike,Leave him alone!
pike," If you can't do that you're worse than some animal -- you're finished -- we're finished -- all of us! Tector looks at him silently. 148 PIKE TURNS TO MOUNT THE HORSE. Placing his foot in the stirrup he stiffly starts to swing on. The leather breaks and. he falls under the animal. Landing on his back, he lets out a loud shriek."
lyle,Riding with 'Brother Pike' and old .man Sykes makes a man wonder if it ain't time to pick up his chips and-find another game.
tector," How in hell are you going to side any- body if you can't get on a horse. 152 PIKE LOOKS AT THEM, THEN STEPS onto the makeshift stirrup and mounts, concealing his pain, taking a few seconds to gather up the reins and position himself. In the b.g., Dutch swings onto his horse."
pike,"Were about two hours from the Santa Caterinas. He turns and rides toward the mountains, the men following."
sykes,That was a mighty fine talk you gave the boys 'bout stickin' to- gether. (as Pike doesn't
pike,We started together -- we'll end it together.
sykes,"By God, that's the way I see it -- that's the way it's always been with me...Sorry 'bout Deke - never figured him that way,  Back in. San. Rafael -- my boy how' d. he do? They ride for a while in silence as: Pike. thinks this over, finally:. _"
pike,Your boy2
sykes,"C.L. -- Clarence Lee -- my daughter's boy ---not too bright, but a good boy -- He handle higself all right? -- I told him -- you do -- just what Mister Bishop says -- Did he conduct hisself well?"
pike, He did fine --
sykes,"Well, you had enough on your mind He had to pull his weight just like the rest of us -- just wanted to know he didn't let you down -- run. when things got hot --"
pike, No ---he did fine...just fine.
coffer,That culvert -- good place for them ----to make an ambush.
thornton,"Go on - ride up and find out. Coffer hesitates, his -ayes wide with fear. Thornton draws his gun, pulls back the hammer."
thornton," Next time I want advice from any of you scum I'll ask for it -- until then, keep . your mouths shut and do what y-ou' re to ld%"
coffer," All clear""'--"
coffer,"From here on, its Mexico, Mr, Thornton."
thornton,What's the closest town of any size2
thornton,What's in Agua Verde?
coffer,"Mexicans -- what else.  Headquarters for Huerta regulars. fighting Obregon, led by an old time bandit named Mapache. Thornton thinks about this, then mounts and rides back in the direction they have come from."
coffer,Don't-we follow?
thornton,No -- we wait.
thornton,'Twenty-eight days.
dutch," We're not going to find much down here., That damned Huerta' s scraped it clean."
angel, My village is up there ...in those mountains.
pike,So --?
angel,I wish to visit my f amily...I can do it and meet you in Agua Verde a day of ter you get there.
pike,How?
angel,"Going this way, you will. have to turn east when you get south of the range... I-know the way to cross the mountains."
dutch,If you know a shorter way..': show us. Angel looks away and is silent for several seconds.
pike,Ashamed of having us meet your people?
pike,"Far as Ifm concerned, you can go,"
lyle,"(dismounting, joining"
dutch,That sounds right to me..
pike,Looks like I'm outvoted.
pike,Wants to visit his folks alone -- thinks we're a little rank for his people.
lyle, I think he can go straight to hell.
tector,Probably wants to get a bunch of his _people and waylay us!
dutch,"And take what? Tector thinks this over, doesn't answer."
pike, How do' you want it?
angel," Any violence -- any disrespect -- and I will. kill you. Tector and Lyle look at him without expression for a moment, then:."
lyle,You got a sister?
angel,...Yes.
lyle,"I would be proud to.make her acquaint- ance -- and. that of your Mama, too."
tector," And your Grandmaw too, sonny... Angel looks at them, then mounts, rides toward the mountains"
thornton,"You have something to say? Coffer instantly lifts his hands in submission and shakes his head. Then, after a moment:"
