Speaker,Dialogue
marke,Why?
tristan,Everything I want seems misplaced.
marke,"Ever since you were a boy you sacrificed everything for me. All for one dream. Now that you reached that dream, it is natural that you would feel some loss. It doesnt matter if you want to be second. You are. I will only be king if you are my second. Id put it more gently if I could."
tristan,Then I am your second.
marke,Perhaps it is time that you took a wife!
tristan,No!
marke,Cant live alone forever.
tristan,I can!
marke,Isolde. I was trying to explain to Tristan the importance of loving. It seems he might live without it.
isolde,Why?
tristan,There are other things to live for. Duty. Honour.
isolde,But they are not life Tristan. They are the shells of life. And empty ones and in the end all they hold is days and days without love. Love is made by God. Ignore it and you can suffer as you cannot imagine.
tristan,Then I will no longer live without it.
marke,"Good. Very good! Come, we will be late!"
isolde,Late?
marke,The warriors ride out on the full moon. It is an old ritual. I shall miss you tonight.
isolde,How many did you love before me?
tristan,None.
isolde,And after me?
tristan,None.
man,Lord Marke! Are you hurt?
marke,Nothing but for my pride.
melot,"Tristan, I need to speak with you."
tristan,Go ahead.
melot,We havent even had a coronation yet to mark tradition. But now he breaks tradition and scares all the barons by naming you as second.
tristan,I tried to convince him you would be better.
melot,"Yes well, peace can be just as treacherous as war and I feel that Marke doesnt really...Listen to me!!! Our attention must be on Cornwall now more than ever."
tristan,I am sorry he didnt choose you. I am.
melot,Can I speak to you?
isolde,What do you think became of them?
tristan,They were lives... just lived.
isolde,"I find myself imaging things in this place. I decorate it. Books, a harp there... a child."
tristan,Would it be his or mine?
isolde,"I would have no way to tell, would I? He is a kind man Tristan, I cannot hate him. Yesterday at the market I saw a couple holding hands, and I realised we would never do that. Never anything like it. No picnics or unguarded smiles. No rings. Just stolen moments that leave too quickly."
marke,Where is Isolde?
bragnae,"I dont know for sure, she was having a walk in the garden before and Im afraid I got tired so I returned. Its my fault."
bragnae,"Youre going to get caught! Both of you! Hes looking for you right now, hell see you! I told you this would happen!"
tristan,"There is another door here, forgotten. This comes up in the bottom chamber of the keep."
isolde,I hate this.
tristan,Hurry! Go on.
bragnae,Im tired of this. Im tired of lying for you. Im sick of it.
isolde,Then dont.
isolde,"There is a servings child, quite ill. Doing better now."
