Speaker,Dialogue
bourne,"What were my    words?  Leave me alo   ne! Leave me out of it! But you coul   dn't do that, could you?"
nicky,"I did...Jason, I swear, I did...I told them... I told them I believed you..."
bourne,Who is Pamela Landy?
nicky,You hear me?     I believed you.
bourne,IS SHE RUNNING TREADSTONE?                            *
nicky's voice,She's CI. Counterintelligence. She's a Deputy Director.
bourne's voice,What the hell is she doing?
nicky,What's she doing?
bourne,Why is she trying to kill me?                             *
nicky,"They know!  They know yo   u were here. T    hey know you killed these    two guys. The    y know you and Conklin had    something on th   e side. They don't know w   hat it is, but    they know!"
t187,T187   INT. PEDESTRIAN SUBWAY -- DAY Still walking.   BOURNE knowing he must be driving them             * nuts.
bourne,How do they know that?      How can they know any of that?
nicky,"What is this, a game?"
bourne,I want to hear it from you.
nicky,Last week an Agency field officer went to make a buy from a Russian national.
bourne,A Russian?
nicky,It    was Pamela Landy's op. The guy was goi   ng to sell-out a mole or something. I hav   en't been debriefed on exactly what it was   .
nicky,And you got to him before we could.
bourne,I killed him???
nicky,"You    left a p   rint! There was Kel that did   n't go of   f! There was a partial print, the   y tracked    it back to Treadstone! They kno   w it's yo   u!"
bourne,I left a fingerprint!       You fucking                 * people.                                                 *
bourne,"Why are you here, then?                              *"
bourne,For Treadstone. In Berlin. You know my file. I did a job here. When?
nicky,No.   You never worked Berlin.
bourne,My first job.                                        *
nicky,Your first assignment was Geneva.
bourne,That's a lie!
nicky, You never worked Berlin...
bourne,I was here!
nicky,...    it's not in the file...I swear...I kno    w your file...your first job was                             * Gen    eva!...I swear to God you never worked                       * her    e!...                                                        *
cronin," Oka   y, they'v   e got three guys out front            * and    another    two taking the back stairs.           * No    word on N   icky.                                 *"
pamela,So what's he doing?       You believe him?              *
zorn, Sir...
abbott,Thanks.
abbott, She say what time I should call?
zorn,The sooner the better.
e193,E193   INT. BERLIN CYBER CAFE -- NIGHT Massive.   Modern.   Busy.   BOURNE in the back.   In a corner.
zorn," Id     id my box    work, but I wa   nted to sh   ow you     before I    showed Landy.     I came ou   t                 * her    e last ni   ght because non   e of this    was mak    ing any s   ense. I mean,     I'm with y   ou on thi    s, Conkli   n was a nut, bu   t a traito   r? I jus    t can't g   et there."
abbott,"What do you have, Danny?"
zorn," You     put a fo   ur-gam Kel on h   ere and it's gon    na take o   ut power to the    building. You kno    w that.     What you can't    know, is if it'    s gonna b   low the room wi   th it."
abbott,And?
zorn,"The   re were t   wo charges, they were supposed to    go off si   multaneously. The second one, the    one that    didn't go off, was down her   e...  Bou   rne would   know."
abbott,It was staged?
zorn,"Is it a slam dunk?         No, but..."
abbott,Jesus...
zorn, Oka   y. What     if someone decided to cover the   ir tracks    by blaming Conklin and Bou   rne. Wha    t if Bourne didn't have any   thing to    do with this?
abbott,Keep going...
zorn,Something's been going on here in Europe. And it's still going on. Post Conklin. Who's been in Berlin?
abbott,Lots of people...
zorn,Including Landy...  She had access to the archives.
abbott,Who else knows about this?
zorn,"Nobody. You.  I had to tell you, right?"
abbott,Show me again...
zorn,Okay... 
clerk,Guten Abend.
bourne, Guten Abend.
clerk, Can I help you?
bourne,No.  Sorry.     I just got in...  I stayed the   re before. My wife and I.
clerk,"I'm sorry, that room is occupied. Would room 644 be okay, it's just across the hall..."
bourne,Sure.    That's fine.   Danka.
205,205   INT. ROOM #645 HOTEL BRECKER -- NIGHT BOURNE with his hand on the wall. As if he can feel it. Like it's all still here. Heart pounding and --
206,206   INT. BERLIN HQ/COMMAND POST -- NIGHT Chaos -- Bourne's been found -- everybody rushing out --
cronin, -- go -- take the van! --
