Speaker,Dialogue
mary,"How am I to send my intimate letters? PAULET Through me. MARY And you will read them. PAULET With respectful admiration. MARY Am I to have no privacy? PAULET No. Beneath the charm, steel. MARY You disappoint me, sir."
mary,"Tormentor! Is that Elizabeth's order too? That you torment and mock me? She turns to go, but stops before leaving the room: bitter, haughty, not deigning to look back. MARY They say she's a beautiful woman."
mary,"My friend, forgive me. You are my friend, are you not? PAULET I am your servant, ma'am, and your admirer."
mary,"I shall send no more letters. I shall stay here quietly, in my prison. With you."
omitted,"30                                                                 30  INT. ANTECHAMBER, WHITEHALL PALACE - DAY 31                                                                 31 The same crowd of petitioners wait in vain for access to the Queen. The same door keeper. Raleigh enters, and this time the door keeper bows, and ushers him through the open doors. Over this we hear Raleigh's voice telling of his adventures: RALEIGH "
hatton,"Majesty, the Archduke and the court are waiting. ELIZABETH  Go on, Mr Raleigh. You were hoping."
raleigh,"At first it's no more than a haze on the horizon, the ghost of a haze, the pure line corrupted. But clouds do that, and storms. So you watch, you watch."
elizabeth,"The Queen lives for her people. You will therefore forgive me, sir, if after much thought and prayer I decline your offer of marriage."
bess,Well? Are you satisfied with the Queen's favour?
raleigh,She listened as if she understood me.
ess,Then I shall expect some gratitude. R
aleigh,What do you want?
elizabeth,Mr. Raleigh.
elizabeth,"I like your immensities. Your ocean is an image of eternity, I think. Such great spaces make us small. Do we discover the New World, Mr Raleigh, or does the New World discover us?"
raleigh,You speak like a true explorer.
elizabeth,"I like you, Mr Raleigh."
raleigh,And I like you.
elizabeth,"You know, of course, that when I like a man, I reward him."
aleigh,I have heard that.
elizabeth,"And what have you to say about it?       R ALEIGH Reward my mission, majesty, not me."
elizabeth,Is the mission not the man? RALEIGH Leave me free to like you in return. That can be my reward.
elizabeth,Go on. RALEIGH I think it must be hard for so great a Queen to know the simple pleasure of being liked for herself.
elizabeth,Now you become dull.
raleigh,Mine!
elizabeth, You have - the stronger horse.
elizabeth,"When I marry, I marry for my country."
throckmorton,The Queen loves you. Speak to her. BESS I cannot betray the Queen.
throckmorton,You are not betraying her. My
lizabeth,"Don't tease me, Mr Raleigh. There's nothing I'd like to do more."
raleigh,So why don't you?
elizabeth,"Alright, then. I will."
elizabeth,See! You lie! You don't want me on your ship at all.  You're a liar! Elizabeth now takes in Bess.
elizabeth,"Would you like to go to sea, Bess?"
elizabeth,"Oh, do they?"
raleigh,"Lock up a hundred men in a space smaller than this room, for months at a time - Men have needs. A beautiful woman like you would drive us all mad."
elizabeth, Men have needs?
elizabeth,"Then let them stay on land and see to their needs.  Mr Raleigh is eager to sail away to his infant colony, Bess. We must persuade him to stay a little longer, mustn't we?"
hrockmorton,Bess?
omitted,44A-B                                                          44A-B
elizabeth,"No, don't stop. I like it."
elizabeth,"Is it true, Bess? That I've never known the simple pleasure of being liked for myself?"
bess,"I hope you believe that I like you for yourself, my lady. ELIZABETH Is anybody ever liked just for themselves? Are you? I doubt it. Men like you because you're pretty. And because you have the ear of the Queen."
bess,"No doubt, my lady."
elizabeth,Him too. He likes you because he wants my favour. You do realise that?
bess,"Yes, my lady."
elizabeth,"And the other thing too, of course. But all men want that. Male desire confers no B         distinction."
lizabeth,"I envy you, Bess. You're free to have - what I can't have. You're my adventurer. Don't be afraid. It's all over so soon."
walsingham,"Still nothing to tell me, Mr Throckmorton?"
walsingham,"I know about the Enterprise. I need names. But if you won't help me, perhaps your father will."
walsingham,"He's been questioned, as you have. I do have to know, you see."
throckmorton,No!
throckmorton,"Enough! You want a name, I'll give you a name."
walsingham,Well?
hatton,As always.
