Speaker,Dialogue
41.,42   CONTINUED:                                               42 But no one moves. The cops pass a CROWBAR around as if it were red-hot. Watson's had enough. He marches forward --
lestrade,That's not Blackwood.
holmes,Now that we have a firm grasp of the obvious...
watson,"Lividity is late stage. Diptera deposits are approximately --  -- three quarters of an inch, putting the time of death at ten to twelve hours ago."
holmes,"Inspector, may I see your pen?"
watson,Missing two incisors in the upper jaw...  Adler's midget.
holmes,"All yours, Inspector."
42.,"42     CONTINUED:                                                42 Holmes and Watson begin walking away from the crypt. Lestrade follows, anxious. Holmes shows him the dusty pocket watch."
holmes,"Scratches around the keyhole where the watch is wound. Most drunks are the same, and pawnbrokers scratch the ticket number and their initials inside the lid. This one has five, so the owner --"
holmes,"Now the game is afoot, Watson."
watson,I fail to see how these fish and chips are different from the three other places we passed along the way.
holmes,Trust me. 
42a.,51   CONTINUED:                                                  51 WATSON Just eat.
watson,"You know, I've seen things in war that I couldn't explain. I once heard a man predict his death, down to the number and placement of the bullet holes that killed him. You have to admit that a supernatural explanation is at least theoretically possible."
43.,"51   CONTINUED:  Never theorize before you have data. Invariably, you end up twisting facts to suit theories, instead of theories to suit facts. Adler's midget is the key to this."
holmes,"Hmm... scratches around the keyhole, what does that tell you?"
watson,"The owner was most likely a drunk. Each time he wound the watch his hand would slip, hence the scratches."
holmes,"Very good, Watson! You've developed considerable powers of your own."
holmes,"Let's see now, there are several sets of initials scored into the lid."
watson,Pawnbroker's marks.
holmes,Excellent.
holmes,The most recent is M.H...
watson,Maddison and Haig.
43a.,"51   CONTINUED:                                                51 HOLMES Oh my Lord, here we are. They should give us an address."
watson,There's one thing you've missed. On the watch.
holmes,I think not.
watson,"The time. Which leads me to deduce that I'm already late for my appointment with Mary. You remember, the one I was leaving for before you talked me into coming to dig up dead bodies with you."
palm reader,"Reckon your future, sir?"
holmes,Perhaps we do need a little help from the beyond.
watson,"No, thank you."
palm reader,You need to hear what I have to tell you.
palm reader,"I see two men, brothers. Not in blood but in bond. I see the letters S and an L, no... wait, a J."
43b.,51   CONTINUED:  I see madness. A man driven out of his mind by a malign force.
palm reader,"I see a letter... the letter M... another M... Mary? You will be married... I see... I see...  Patterned table clothes, china figurines, lace doilies..."
watson,You think you are clever don't you?
palm reader,She turns to fat...
watson,Enough.
holmes, Do you have any changes?
watson,This is a new low -- even for you.
44.,"51   CONTINUED:                                                51 HOLMES It's the most honest prediction old Flora has made in years. And you know it yourself, Watson. That is precisely the reason you can't find a suitable ring. You're terrified of a life without the thrill of the macabre, as well you should be."
watson,Do you still have my cut from the fight?
holmes,"Why, do you --"
palm reader,"I seen something in his hand. Darkness and great pain. Mortal peril. Warn your friend, he's not safe."
watson,"Not bad, eh?"
holmes,Reordon's lodgings should be right around this bend. Here we are... 
44a.,"52   CONTINUED:                                                  52 He slows, looks up at a dark, dingy LODGING HOUSE.   Some windows are boarded up."
holmes,"Looks promising. And possibly dangerous. Oh, well, give my regards to Mary."
watson,I can spare ten minutes.
holmes,He clearly felt something was coming to get him.
watson,Something did.
watson, Bloody hell...
holmes, Ammonium sulfate.
holmes, Phosphorous... Formaldehyde... Hemlock...
watson,Appears he was attempting to follow occult formula with scientific practice.
watson,Has he any hydrochloric acid?
47.,"56   CONTINUED:                                                      56 Holmes shuffles a few bottles, tosses one to Watson. Watson catches it, starts pouring the acid, another chemical on a clean sheet of paper."
holmes,Irene was here.
watson,"Why would she hire you to find him, if she planned to do the job herself?"
holmes,"Maybe it's not the man she's after, but something else. Something he was working on? WATSON Ferrocyanide. Sucks the iron right out of the ink. Long as it's not too burnt..."
watson,He worked for Blackwood.
holmes,"There's one odor I can't put my finger on. Sweet, almost like perfume... or sugar....  Barley sugar."
48.,"58   CONTINUED:                                                     58 They are followed by DREDGER, a huge man, just shy of seven feet tall and pushing 400 pounds, slightly deformed, who follows them into the room. He sucks on a twisty stick of barley sugar ."
holmes,"Hello, gentlemen."
dredger,Sherlock Holmes.
holmes,Let me guess -- you're here to extinguish any connection between the man who lived here and the man you work for? Curious you'd still be running errands for a dead man.
dredger, You do like to talk.
holmes,"You take them, I'll handle Mr. Sweet tooth."
watson,Seems about fair.
49.,58    CONTINUED:                                                 58 INT. REORDON'S LAB
watson,Holmes!
watson,I haven't slept all night. I deserve this... I clearly deserve it. How could I ever be so deluded as to believe I could meet Mary's parents for tea once I let myself be talked into going with you. Now of course I'm in jail.
holmes," You're not implying that I am responsible for our current situation are you, Watson? We were set upon, man, it was self- defense."
watson,I've used the time to review my notes on our exploits of the last seven months... and I've come to the conclusion that I must be suffering from to some profound psychological aberration.
54.,67   CONTINUED:                                                   67 WATSON  Why else would I continually allow myself to be led into situations where you're deliberately withholding your intentions from me?
holmes,You've never complained about my methods before.
watson,"I'm not complaining... I never complain... I never complain about your violin playing at three in the morning, your mess, your lack of hygiene, your stealing my clothes, your setting our home on fire!"
holmes,That was an accident...
holmes,The first time WAS an accident...
holmes,"Ah, Mr. Brownlee. The fifteenth most dangerous man in London."
watson,"Who could forget that face? I told you, a little nitrate of silver and the warts will be gone in two weeks. Now, if you'll excuse us!"
54a.,67   CONTINUED:  Nor am I complaining about the fact that you terrorize my patients and perform outlandish experiments on my dog.
holmes,Gladstone's my dog as well.   It's in the interest of science.
watson,What I do take issue with is your ruthless campaign to sabotage my relationship with Mary.
holmes,"Watson, I completely understand now. You're overtired and feeling a bit sensitive."
holmes,What you need is a rest. You and I could go out to the countryside. My brother Mycroft has a small estate near Chichester. It has marvelous grounds and a beautiful folly. We could throw a lamb on the spit.
watson,"If I were going to the country, I would be going with my future wife --"
holmes,Certainly. We should have her along. Let's get Gladstone out of the house as well.
watson,"No, Holmes. Not you.   Me and her. You're not --"
holmes,"Invited? Now you're not making any sense, Watson. Why would I not be invited to my own brother's country home?"
54b.,67   CONTINUED:  ... without this.
prison guard,John Watson?   You made bail.
prison guard,Just Watson.
55.,"68   CONTINUED:                                                   68 As the door is opened, the thug blasts out backwards, having just been battered through it by Holmes."
holmes,Lestrade -- your usual impeccable timing.
lestrade,"You know, in another life, you'd have made an excellent criminal."
holmes,"And you, sir, an excellent policeman."
lestrade,Tell me you have answers.
holmes,All in good time.
lestrade,"We don't have time. I've an office full of policemen hanging crosses over their desks. A public that's working itself into a frenzy... Holmes sees a dark, strange carriage waiting, door open."
holmes,Who's this?
lestrade,Try to behave yourself. They just paid a small fortune to bail you out.
sir thomas,"Mr. Holmes, apologies for summoning you like this. I'm sure it's quite a mystery as to where you are, and who I am."
holmes,"As to where I am -- I was, admittedly, lost for a moment between Charing Cross and Holborn. But I was saved by the bread shop on Saffron Hill, the only bakers to use a certain French glaze on their loaves. After that, the carriage forked left, then right, a bump over the Fleet conduit -- need I go on?"
holmes,"As to who you are -- that took every ounce of my not- inconsiderable experience and skill... the letters on your desk are addressed to Sir Thomas Rotheram, Lord Chief Justice. That would be your official title. Who you realy are is another matter entirely."
56a.,"72   CONTINUED:                                                    72 HOLMES Judging by the sacred Ox on your ring, you're also the secret head of the Temple of the Four Orders -- in whose headquarters we now stand, on the northwest corner of St. James Square.  And as to the mystery -- the mystery is why you bothered to blindfold me in the first place."
sir thomas,"Yes, well, it's standard procedure, I suppose."
57.,"72   CONTINUED:                                                72 SIR THOMAS Sherlock Holmes, Ambassador Standish from America and Lord Coward, the Home Secretary."
lord coward,I suppose you already have some notion as to the -- practices of our Order?
holmes,Yes.   They're almost interesting.
sir thomas,Be as skeptical as you like -- but our secret systems have steered the world towards the greater good for centuries. The danger is that they can also be exploited for more nefarious purposes.
lord coward,"What some call the dark arts, or practical magic."
standish,"We know you're are a rationalist. We don't ask you to share our faith, only our fears."
holmes,"Fear is the more infectious condition.  In this case, fear of your own child."
holmes,"Blackwood is your son, yes? You have the same colored irises -- a rare dark green, with diamond- shaped hazel flecks -- "
58.,"72   CONTINUED:  -- plus identical outer ears, or pinna, which only pass down through the direct bloodline, which would make you either brothers, or, more likely, father and son."
sir thomas,"Very few people are privy to that information, and we want to keep it that way."
sir thomas,"He was conceived during one of our rituals. His mother wasn't my wife, but she shared our beliefs. She was a powerful practitioner. Though not enough to survive giving birth to him."
sir thomas,We were young. It was before we fully understood the powers we were dealing with.
holmes,Evidently.
sir thomas,"Death followed him wherever he went, from his birth to arms he made and sold. What family he had tended to... not survive. No one could prove anything of course, but we all knew --"
sir thomas,The boy was a curse. I didn't have the courage either to take him in or to -- 
59.,72   CONTINUED:                                              72 STANDISH All this is history. The present and future are worse.
sir thomas,"We've done our best to stop him ourselves, but it's not enough."
lord coward,His power grows daily and exponentially. His resurrection is evidence of that. What he does next will be far more dangerous --
sir thomas,-- he's going to raise a force that will alter the very course of our world. We need you to find him and stop him before he does.
lord coward,"We'll give you any assistance we can. As Home Secretary, I have considerable influence over the police.  Name your price."
holmes,"One of the great benefits of my work is that I can pick and choose my clients. I'll get him, but not for you."
holmes,"I have one last question, Sir Thomas."
sir thomas,What is it?
holmes,"If the rest of his family's dead, why are you still alive?"
irene,"If you're going to watch me take my clothes off, Sherlock, the least you can do is help me with the buttons."
irene,"To watch a lady undress without her permission is a criminal offense, Sherlock, and could get you into a lot of trouble..."
irene,So why don't you come over here and help me instead.
irene,That's better.
holmes,You can stop looking for Reardon.
irene,I knew I could count on you. 
61.,75   CONTINUED:                                                     75 HOLMES He was buried in Blackwood's tomb.
