Speaker,Dialogue
billy,"- right.  Now there's a bloke who knows how to deliver a proper welcome.  Don't get me wrong, mate.  You were quite hospitable.  Is it him, then?"
luther,"It is, Billy."
billy,Then we got'em!
ethan,"We don't know what we've got because we don't know what he's got, where he's got it or what he's doing in Sydney with it."
ambrose,Not much luggage.
nyah,"I left in a bit of a hurry.  I'm terribly grateful, Sean."
ambrose,How grateful?
nyah,Well that depends.
ambrose,On what.
nyah,How hard you had to work to get me out of there..how in the world did you ever find me?
ambrose," How I usually find you, Nyah."
nyah,How do you that.
ambrose,Magic...
nyah,Ahh..
wallis,No flies on her.  No bugs either.  She's clean.
stamp, All cats are.
nekhorvich,"...therefore in a search for our hero, Bellerophon, we created a monster, Chimera."
billy,"What you got there, mate?"
ethan,A myth..just a myth...shouldn't you be checking out their countersurveillance?
billy,"Well you know his blokes'll place the OSCOR in his annex, where else if you're pinpointing transmitters, video signals, covert chip cameras, anything radiating, oscillating.."
ethan,..or hard wired..
billy," - or hard wired, right.  First line of perimeter defence'll run from the back of the dock to the front of the house. Whatever moves burps or bleep is gonna be picked up to a height of twenty feet. Basically impenetrable, I'd say."
luther,"Ethan, here's Nekhorvich, and here's his boss"
ethan,Not at all.  But how about going into town and confirming your intuitions on site?
billy,"Oh well, if that's how you feel about it."
luther,"..then Cambridge..Harvard..entrepreneurial efforts..in efforts..in 1989, acquired Biocyte in hostile takeover.."
mccloy's voice,"We at out state-of-the-art solar powered Biocyte building recognized that eternal vigilance is the price of health.. whether it's funding the teaching center at the Royal Prince Edward Hospital, removing aerosol products from the marker or braving the influenza quarantine at Bruny island late last month..at Biocyte your life..is our life's work.."
ethan, ..Biocyte workers at Bruny Island.
nyah,Your room.
ambrose, Mmmm.
nyah,And my room?
ambrose,Thought you could use a little something to wear.
nyah,No changing room?
nyah,You're not interested in seeing how it looks.
ambrose,"Oh, I am.  Later.."
nekhorvich,"..therefore in a search for our hero, Bellerophon, we created a monster, Chimera."
luther,Why's Nekhorvich going on about an old Greek myth?
ethan,"Nekhorvich specialized in recombining DNA molecules.  In the myth, Bellerophon killed Chimera, a recombinant monster with the head of a lion and the tail of a serpent who plagued the ancient world.  I think Nekhorvich has created a monster virus in Chimera and apparently the means to kill it in Bellerophon."
luther,"That simple, huh?"
ethan,Why not?
nyah,Did you say something?
ambrose,"I said you're beautiful, Nyah."
nyah,Only because..it's spring..chalk it up  - to spring fever.
ambrose,"Won't do, love.  It's not spring.  It's nearly autumn..You're in Oz.  everything's upside down and backwards here."
nyah," Maybe that's it, then.  Everything's upside down and backwards..."
ethan,"Luther..get us everything you can on the outbreak of influenza on Bruny Island last month, including photos of the victims."
luther,Right.  I guess there aren't many flu epidemics in the middle of summer.
ethan,Yeah?  I've just rolled up a snowball and tosses it into hell.
ethan's voice,Now we'll see what chance it has.
ambrose,Twenty-four mil..
ambrose's voice,Thirty-seven million pounds.  That's a promising bid.
ambrose,We'll need this at the track.  Well then. Sorted.
ambrose,From her point of view or mine?
stamp,"Wasn't exactly gagging for it when she left you six months ago..The question is, do you trust her?"
ambrose,"One considers her timing, of course - getting nicked within a week of the plane going down.  Suggestive, even borderline suspicious, but hardly conclusive."
stamp,"Well, you've thorough about it, at any rate."
ambrose,"Tell me, Hugh.  You don't exactly hang on Nyah's every word and gesture, do you? Fairly ratty nail, that."
ambrose,"You're not scrutinizing any casual shrug for some hair-splitting nuance, are you?"
stamp,"Sean, please.."
ambrose,"Suppose she is some sort of Trojan horse sent in by IMF to spy in us, why should I deny myself the pleasure of a ride or two? Or don't you think I can learn more from her than she can from me?"
stamp, I do!..
ambrose,"Now Hugh, you must realize that some of us have the burden of sex to deal with..and my dear chap.  I may or may not know why she thinks she's here, but I'm willing to take the risk, because Hugh, I am gaging for it.."
ambrose, You won.
nyah, I suppose I did.
ambrose,What made you pick that nag?  She'd never won a bloody thing.
nyah,'Thief in the Night?'
ambrose,Say no more.  I'm off to grab a drink. Still favor Bellinis?
a voice,Naturally Vain..
