Speaker,Dialogue
andy," backs   through the double doors at the other end of the hall,   trying to balance an overloaded tray of supplies she's   carrying. She and Ford are momentarily in full view   of each other ... but backs turned. Suddenly -- Ford   hears Andy! He spins ... gun ready.  Andy carefully   heads   that way -- the two corpses visible ahead and the   killer   poised to waste her. But she's concentrating   on the   overloaded tray, traveling closer ... closer ...   until   -- she turns off into the medicine room.  Ford swiftly hauls both corpses out of sight."
at elevators," Storm weakly, awkwardly ""rows"" himself toward the elevators with the mop handle. Then using his hands, trying to grasp the wall and push himself along. "
at elevators," Storm struggles to push himself inside. Everything an excruciating effort. The doors slap into his litter, trying to close. Reopen. Close. Reopen. Hindering him as he throws a look toward --"
storm,Sonofabitch!
andy,My God!
storm, -- Help me ...
andy,I'm sorry!    Sorry --
ford," hurtles from the stairwell. In one beat, he takes in the janitor; in the next, Andy and Storm -- down the hall. Ford takes off after them. He's going to catch them!"
janitor," jerks up on the power cord! It whipsnakes down the hall, flaring up, tripping Ford! He sprawls face-first as:"
empty gurney, rolls randomly INTO VIEW across the lot.  HIGH ANGLE - WIDE SHOT - PACIFIC COAST HIGHWAY - DAWN  Andy's car speeds up the PCH. Majestic Malibu Mountains visible -- dawn sun shimmering the ocean with early light.
trent, Six gang-related murders in one week. We're going to put a stop to it -- and we're going to start right here!
trent,I'll be talking with the mayor. We'll have a statement shortly --
trent,Holland -- plaster his ass with slime in the press. Put a tail on every person he knows --
holland,"We know how to do our job, Senator."
trent,"Then start showing it.  I'm starring in that sonofabitch's home movie -- and the Oscar is thirty years in the slammer. He's toast, understand?"
trent, We're going to end violence in this state -- and you can take that to the bank!
storm,"Seven years.  He struggles to sit. It takes all his strength simply to get half-propped on pillows. Something jabs him. It's a TV remote, on the sheet beside him. Storm picks it up.  After a beat, he manages to focus on the TV --  TV SCREEN - ""GERALDO SHOW""  -- Stay tuned for more of: Best of Geraldo!"
storm,Geraldo?
tv screen, An attractive female spokesperson speaks directly and sincerely into camera.  FEMALE SPOKESPERSON  -- If you want to sleep with me ... you better wear a Pharoah. 
storm, Certain the world has gone insane.
andy," can't come in to work, are you crazy?! I can't even go to my apartment! People are dead, Martha ... no, I can't tell you where I am ... you're better off not knowing --"
andy," I want to help him... my God, he needs it ... but it's all over the T.V., he's some kind of crooked cop with drugs and murder and --"
andy,"It's okay -- I'm here, I'm with you."
storm, Tell   him it's Storm. Mason Storm.
storm, I can't stay here. They'll trace you from the hospital in two --
andy, Will you believe me?! We're safe here.
storm," Listen, you sonofabitch --"
andy,We'll find your friend O'Malley. We'll just keep phoning ...
storm,Listen.     I'm getting out of here.
andy, I'll buy tickets to that.
storm,I just need some food -- and a few days to get my strength.
andy,Days?   Try a few weeks.
storm,"You helped me, okay? I'm grateful. But every day you keep helping puts you in more danger."
andy, Danger is my middle name.
storm,"I've been dead, Andy.      You wouldn't like it."
