Speaker,Dialogue
arthur,"And a great heart it is. Sir Lancelot, you will be my champion."
lancelot,"In the name of Jesus Christ and His holy blood, I swear eternal faith to Arthur, King."
knight,...We killed every one of them. Burnt their ship...
arthur,"Lancelot, how did you fare in the North?"
lancelot,"We spared the lives of a few, so they could sail home and tell their fellows what fate they met at the hands of King Arthur's knights..."
arthur,"And you, Uryens?"
uryens,Victory!
arthur,"Lot, and you?"
lot,We drove the invaders into the sea.
arthur,"You, Gawain, the East?"
gawain,The East is ours again.
arthur,"The war is over. One land, one King. Peace."
knight,Let me through. I fought the King's battle too. He must know my story.
merlin,Chaos... confusion... brutes... savages... troglodytes... Stand back... make space.
merlin,The moon... the sun... the stars... they spin... they turn... they circle... around us... us...
merlin,"You, and you, and you, take up your place. Be wedded to the world. Respect its perfection. All of you, together, be one."
arthur,"Your ancient wisdom and infinite sight have forged this circle, Merlin. Hereafter we shall come together in a circle, to tell and hear of deeds good and brave. I will build a table where this fellowship shall meet. And a hall around the table. And a castle about the hall."
arthur,And I will marry.
arthur,And the land will have an heir to wield Excalibur.
arthur,"Knights of the Round Table, good friends, brothers in arms. I send you on a quest harder by far than the battles we have fought together, a quest to uphold always, and everywhere, justice, honor, and truth. Each day shall bring forth a cause, and may each cause bring forth a knight."
lancelot,I swear never to rest twice on the same pillow till all men live at peace.
knight,"Good day, sir."
lancelot,Good day to you.
lancelot,"I hear the stifled cry for help, I smell the reek of fear..."
lancelot,"These men repented before God for their evil deeds. Those who would not, met their fate at the end of my sword.  Accept the fruit of my first quest as my wedding gift."
arthur,"I do. Rise, Lancelot, come with me."
arthur,"Sit beside me, Lancelot."
arthur,"Your deeds set an example for all other knights. For your gift, ask a gift of me."
lancelot,"Only give me leave to ride out again, to do what I am most able to do, and happiest doing."
guenevere," He must stay for the feasting days of our wedding, and tell his deeds himself."
arthur, I grant you your wish if you grant Lady Guenevere hers.
lancelot,I will stay Madame.
merlin,The knights of Galys approach the camp. It would be politic...
arthur,...to ride out and meet them.
arthur,"I will ride with Sir Kay. Lancelot, rest here."
guenevere,Don't start a war on my wedding day!
arthur,Without Lancelot?!
guenevere,"Look Lancelot. The maids and ladies whisper about you. They all dream of winning you, young and old, fair and ugly."
