Speaker,Dialogue
rab in,"They're all dead. No matter how tough you                 r. say this Keaton was, no one on that boat could've made it out alive."
plumber,"Ridgly, this is Special Agent Jack Baer from the F.B.I. Agent Baer, this is Doctor Ridgly Waiters."
ridgly,Nice to meet you.
baer,Is he talking?
ridgly,He regained consciousness less than an hour ago. He spoke - not English - then he lapsed.
baer,Hungarian?
ridgly,I don't
baer,It was Hungarian. Most of them were Hungarians. Any fluent Hungarians on your staff?
ridgly,We have a Turkish audiologist.
baer,will he die?
plumber,There's a chance.
kovash,"<<Find someone who understands me, you idiot, I'm going to be killed, You'll all be killed if he has to do it. Help me, God. They're all stupid. Get someone who understands me or we're all going to die.>>"
yellow 06/11/94,30A. Baer pulls a cellular phone out of his jacket and dials. BAER Call hospital security and put a man on the door until the police get here.
kovash,"<<Why are you just standing there, you idiot? I'm not speaking English am I? Wouldn't it make sense to find someone who could talk to me so you could find the person that set me on fire, perhaps? He is the Devil. You've never seen anyone like Keyser Soze in all your miserable life you idiot. Keyser Soze. Do you at least understand that? Keyser Soze. The Devil himself. Or are you American policemen io stupid that you haven't even heard of him. Keyser Soze, you ridiculous man. KEYSER SOZE . >>"
plumber,Is he dangerous?
baer,Yes.
kovash,Keyser - Soze.
baer,What?
kovash,Keyser - Soze.
baer,"No shit?  Joel, call Dan Metzheiser over at Justice and find Dave Kujan from Customs."
kujan," Verbal, you know we're trying to help you."
verbal,"Sure. And I appreciate that. And I want to help you, Agent Kujan. I like cops. I would have liked to have been a Fed myself but my C.P. was -"
kujan,"Verbal, I know you know something. I know you're not telling us everything."
verbal,I told the D.A. everything I know.
28,28    INT. WORKSHOP
verbal,"Sure. Fifteen years ago, but he was a good thief Anyway, the cops wouldn't let him go legit."
kujan,Keaton was a piece of shit.
verbal,"You trying to get a rise out of me, Agent Kujan?"
kujan,I just want to hear your story.
verbal,It's right here.
kujan,"According to your statement you are a short-con operator. Run of the mill seams. Everything you do, you learned from somebody else."
verbal,That's been suppressed. Anything in there is inadmissible.
kujan,"Oh, I know. Sweet deal you have. Total immunity ."
verbal, Well I do have the weapons charge. I'm looking at six whole months hard time.
kujan," You know a dealer named Ruby Deemer, Verbal?"
verbal,You know a religious guy named John Paul?
kujan,You know Ruby is in Attica?
verbal,He didn't have my lawyer.
kujan,I know Ruby. He's very big on respect. Likes me very much.
verbal,There's nothing in there about Ruby.
kujan,I'11 be sure to mention that to him.
verbal,No.
kujan,I'11 get right to the point. I'm smarter than you. I'11 find out what I want to know and I'11 get it from you whether you like it or not.
verbal,I'm not a rat.
rab in,Can we get started again?
kujan,Now what happened after the line-up?
edie,...and the desk Sergeant is actually trying to tell me he can't release you? Can you believe that? You weren't even charged. New York police - Jesus. I want to take pictures of your face to bring to the D.A. first thing in the morning.
keaton,Just forget about it.
edie,Absolutely not.
keaton,"Edie, please. I don't want to hear this right now. What did Renault and Fortier say?"
edie,They want more time to think about investing.
keaton,Goddamnit.
edie,They just said they wanted time.
keaton,"Time for what, Edie? Time to look into me a little more, that's what. No matter how well you cover my tracks now, they'll find out who I am."
edie,"Give me some credit. I got you this far, let's go to the grand jury. This is never going to stop if we -"
keaton,"No. It's never going to stop, period. It won't take more than a week before every investor in this city is walking away from us. It's finished. I'm finished."
edie,"Don't give up on me now, Dean."
keaton,They'll never stop.
edie,I love you.
keaton, They ruined me tonight.
edie,"Dean, I love you. Do you hear me?"
keaton,Huh?
edie,"Come home with me, please. Dean?"
edie,"Come home, Dean."
keaton, Alright.
keaton,What are you doing here'! How did you find me?
verbal,I just asked one of the detectives downtown. He seemed pretty happy to tell  me. Keaton curses under his breath and motions for Verbal to come in. 32 32    INT. EDIE'S APARTMENT
edie,"Dean, who was at the"
verbal,How do you do?
keaton,"Verb - Roger, this is Edie Finneran. Edie, this is Roger Kint, he was at"
edie, I know who he is.
verbal,I hope I didn't disturb you.
edie,"I hope so, too, Mr. Kint. Can I get you something to drink?"
verbal,A glass of water would be nice.
keaton,What the hell do you want?
verbal,I wanted to talk to you. The other guys -
keaton,"I did you a favor by standing up for you last night, but don't think we're friends. I'm sorry, but I have other things -"
verbal,"They're gonna do a job. Three million dollars, maybe more."
41.," VERBAL  Thank you.  Verbal drinks slowly. Edie stands over him, her face blank. It is an awkward moment. She deliberately makes Verbal uncomfortable.  LONG PAUSE - FINALLY:"
edie,"So what is it you do, Mr. Kint?"
verbal,Umm ...
edie,"A hijacker like Dean, here? Or something more creative?"
keaton,"That's enough, Edie."
edie," I don't know what you came here for, but we won't have any part of it."
keaton,"Edie, please."
edie,I've spent the last year of my life putting his back together again - I won't have you come in here and - What makes you think - GET OUT. GET OUT OF m HOME. HOW DARE YOU COME HERE?
edie,"Don't touch me. Just don't,"
keaton,Get out.
verbal,If you'll just let me -
keaton," Hurt you, you sonofabitch? I could kill you."
verbal, They're going to hit the Taxi Service.  Keaton freezes. LONG PAUSE.
verbal,New York's Finest Taxi Service.
keaton,They - That's bullshit. They don't operate anymore.
verbal,McManus has a friend in the Fourteenth Precinct. They're coming out for one job - Thursday. They're picking up a guy smuggling emeralds out of South America. Fenster and McManus have a fence set to take the stuff.
keaton,What fence? Who?
verbal,Some guy in California. His name is Redfoot.
keaton,Never heard of him.
verbal,You have to come.
keaton,What's with you? What do you care whether I come or not?
verbal,They - They don't know me. You do. They won't take me unless you go. Look at me. I need this.
keaton,Tough break.
verbal,Don't tell me you don't need this. Is this your place?
44.,VERBAL  I'm not knocking you. You look like you've got a good little seam going with this lawyer -
keaton,You watch your mouth.
verbal," Okay, okay. You say it's the real thing? That's cool."
keaton,I apologize.
verbal,I was out of line.
keaton,You okay?
verbal,I'11 be alright.
keaton,"Well, I'm sorry."
verbal,Forget it.  I'11 probably shit blood tonight.
keaton,How are they going to do it?
verbal,McManus wants to go in shooting. I said no way.
keaton,Fenster and Hockney?
verbal,"They're pretty pissed off. They'll do anything. Now I got a way to do it without killing anyone: but like I said, they won't let me in without you."
keaton,Three million?
verbal,Maybe more.
keaton,No killing?
verbal,Not if we do it my way.
keaton," I swore I'd live above myself.  Verbal smiles, knowing he has him.  33 EXT. KENNEDY AIRPORT - DAY                                          33"
rizzi,How was the flight?
oscar,Will that get me to the Pierre?
rizzi,That'll get you to Cape God.
strausz,What the
rizzi,LOOK OUT.
48., 'He stands on the front of the roof and swings the hammer down.  39 INT. POLICE CAR 39
strausz,Give it up.
strausz,Do you know who I am?
hockney,"We db now, Jerk-off."
hockney,When does the fence come?
verbal,In California?
hockney,"Hold the fuckin' phone. You and Fenster? No, no, no."
hockney,I'm sure you can understand my hesitation.
fenster,Then who goes?
hockney,"We all go. How about it, Keaton?"
keaton,We need to lay low for a while.
verbal,We're going to miss the flight.
keaton,We'll make it.
verbal,Don't do this. Send her a card - something.
keaton,We'll make it.
51a.," Keaton realizes he is standing on a balcony overlooking a library below.  He sees Edie working in the library with an old woman. The two women talk for a moment.  SUDDENLY, Keaton turns with a start. Verbal is standing behind him.  VERBAL We're gonna miss the plane.  She'll understand.  YELLOW 06/11/94"
52., Edie is smiling and laughing with the old woman. Keaton's face is marked with guilt and anguish. Keaton turns and walks out of the waiting room. Verbal takes one last glance at Edie and turns back to Keaton.  46 46    INT. LIBRARY
kujan,"Heartwarming. Really, I feel weepy."
verbal,"You wanted to know what happened after the line-up, I'm telling you."
kujan,"Oh come on, Verbal. Who do you think you're talking to? You really expect me to believe he retired? For a woman? Bullshit. He was using her."
verbal,He loved her.
kujan,Sure. And I'm supposed to believe that hitting the Taxi Service wasn't his idea
