Speaker,Dialogue
alex,Is knowing going to make it easier? It makes it harder.
carter,You get off havin' control over me. Let me choose how to deal with it.
alex,It doesn't matter who's next... we're all on the same list.
carter,"Aww, fuck... really?"
carter,"Then why bother? What's the fuckin' point? Terry and me will be back together on the other side, so why wait any longer?"
clear,Knock it off!
carter,"May as well go out under my own free will, right?"
clear,Not with us in the fuckin' car!
carter,"What's your fuckin' worry? If it's not your time...? I could get nailed runnin' this red light and you all wouldn't get shit! Only me, right?"
billy,And I fuckin' HATED FRENCH CLASS!
carter,That's what I'm doin'!
clear,"I know what you're doing! It's alright to be scared, Carter. You don't have to prove to us how big your balls are. Not now."
carter,I'm not afraid! I DECIDE WHEN IT'S TIME! I control my life! I control my death!
billy,Watch it! Watch it!
billy,"I am... so close to puking, you don't wanna know."
clear,"We're afraid, too, Carter, but we're not going to quit. Maybe you are. You act like you're not, but you are!"
clear,"So, stop what you're doing and STOP THIS CAR! Right fucking now!"
clear,Move it!
alex,"Billy, get out!"
clear,"Carter, get out!"
carter,It ain't my time.
carter,I can't get out!
billy,"Man, he really is next."
clear,Scared now?
carter,It broke!
billy,No one's that strong.
clear, Bullshit. He saved your life...again!
billy,THAT'S RIGHT! HE'S RIGHT! YOU ARE NEXT! I'M GETTING THE FUCK AWAY FROM YOU!
carter,"SHUT UP, BILLY!"
clear,WE DON'T NEED THIS NOW!
billy,I DON'T NEED IT EVER! GET AWAY FROM HIM! HE'S NEXT!
carter,"FUCK YOU, BILLY! I'M NOT DEAD!"
billy,YOU WILL BE! YOU'RE DEAD! YOU'RE DEAD!
carter,Jesus fucking Christ!
alex," You should have been next. After Lewton, you should've been next. That's the only pattern. You should be dead."
carter,You're the fuckin' devil.
alex, But I saved him. I intervened. Just like the plane. That's the design.
clear,Police are coming.
alex,That's why It skipped Carter and went to the next one in the path of the explosion; Billy.
carter,"""Intervention?"" What are you, God now?!"
alex,Of course not! Gods aren't afraid to die! Gods don't die! We do!
clear,You're losin' it. The police will be here. We have to go to the cabin. You can hide there. Get your head together.
alex,After Billy... it's me. And then you.
carter,"Then, get out of here."
alex," I overlooked it. You tried to capitalize. But I caught you, you fuck. I can beat you. Not forever, but I got this cabin rigged to beat you NOW!"
weine,She was up there a minute ago...
clear,I'm not turning him in. There's another life that needs him now.
clear,I go with you.
weine,You can't.
clear,Don't hurt him.
weine,"Tell us where he is. Wait at home, and I promise... we'll bring him back safe, in protective custody."
alex,"I... never moved. Christa asked me to move, but I didn't change seats. I would've moved up... next to Tod... How could I not remember... that... I never moved. Clear's seat was in front of mine..."
schreck,There!
clear,Run!
cut to:,EXT. FOREST - NIGHT - CLOSE - ALEX'S EYES
weine, Lost him.
schreck,From the direction... there's only one place he can heading...
alex,Don't move!
alex,You're grounded in the car. Don't touch anything. DON'T MOVE.
weine,"Alex, get away from there!"
schreck,"Any part of that line touches you, you're dead."
alex,NO!
weine,Get back! You'll both die!
alex,You know what to do.
clear,No! No! Don't!
alex,When I do this.. it'll have skipped you... and it'll all be over.
alex,You know what to do. I'll always be with you.
alex,NO!
schreck,Is he alive?
doctor,A little more. Little more!
doctor,He's here. A beautiful boy.
clear,I felt him! When the baby was born... I felt Alex pass through me... like the night he died...
doctor,13th of May... 4:25 p.m.
barbara,Exactly a year... to the minute.
clear,"We beat it, Alex."
carter,Alex was right.
clear,I believe... that's what Alex believed. But how do we know... this wasn't the design all along?
