Speaker,Dialogue
coroner,"It's different when you know them, isn't it?  Just sign over there and she's all yours."
will,"Thanks, Doc."
coroner,"You're looking a little green, Detective."
will,What's with all the moose antlers around here?
fred,Lots of moose.
will,When's Rich coming?
fred,I'll call him now.
will,First I need a copy of the key.
fred,"This isn't Seattle, Detective.  We don't have copies.  This is the only one."
secretary,Detective Dormer?  Telephone.
secretary,This came for you earlier.
will, Dormer.
man's voice,I bet you haven't been getting much sleep.
will, What?
man's voice,You lower-48s.  You think the white nights are kind of neat.  Then you can't sleep for days.  I've seen it happen about a million times.  But you can't sleep for a different reason.
will, Who is this?
man's voice,"I saw what really happened, Will..."
man's voice,I saw you kill your partner.  With your back-up weapon.  Out there on the beach. I saw you shoot him dead...
will, Now you listen to me...
man's voice,"Don't worry.  I won't tell anyone.  Oh, and I saw you take my gun.  My uncle's old 357.  I dropped it in the rocks. But you can go ahead and keep that."
ellie,You look like you're in a hurry.  I just wanted to ask you about these pictures.
will,Right.
ellie,"But here's the thing.  I retraced your exact steps according to your statement. You couldn't have seen Detective Eckhart from there.  I mean, not in that fog."
will,Then change it.
ellie,How much closer would you say you were?
will,I don't remember.
ellie,Five feet?  Seven feet?
will,"Listen, Ellie.  I don't have time for this shit.  Five feet, seven feet, twenty feet.  Put down whatever you want in your report, alright?"
will,These should have gone out two hours ago.
young girl,...And that's how I think Kay would want us to remember her...
fred,We should go say hello to Mrs. Connell.
will,You go ahead.  I'll be there in a second.
randy,Thought I smelled something.
will,"Good to see you, too, Randy."
tanya,Who're you?
randy,Fuckin' cop.
randy,You coming or not?
tanya,I never met anyone from Seattle before.
will,You're not missing much.
tanya,What are you doing in this shit-hole town?
will,"You were good friends with Kay Connell, weren't you?"
tanya,I was her best friend.
will,Best friend?
tanya,Since grade school.
will,That's a long time.
tanya,We were like sisters.  Knew everything about each other.
will,Must be tough for you.  What happened.
tanya,"Everybody says I'm holding up great, considering.  Don't even care if I go to school.  They're all worried I haven't cried yet."
will,What about Kay's other friends?
tanya,Do we have to talk about Kay?  I don't want to talk about her right now.  Let's just drive.  Go somewhere.
will,You want me to take you somewhere?
tanya,Long as it's fun.
will,How about this.  You like this?
tanya,Hey...
will,Thought you wanted something fun...
tanya,Move over!
tanya,You crazy son-of-a-bitch!  You could have killed us!
will,You and Kay were like sisters?
tanya,That's what I said.
will,Told each other everything.  That why your picture's torn up in the top drawer of her bureau?
tanya,No...
will,Who was Kay seeing besides Randy Stetz?
tanya,I don't know.
will,You don't know.
tanya,She wouldn't tell me!
will,But you were such good friends...
tanya,It was like some big fucking secret!
will,What was?
tanya,She kept saying she was gonna get out of here.  Leave us all behind.  That he was going to take her!
will,Who?
tanya,My arm!
will,Who?
tanya,She used some stupid code name.
will,What was it?
tanya,Brody...I don't know...  ...Something Brody!
will,Lucy.  Desi.
bedroom," Single bed.  Books and magazines.  A half-eaten tuna sandwich on the bedside table.  ""NYPD BLUE"" calendar on the wall.  It's quiet.  He walks over to a large DESK by the window. Scattered papers.  Computer.  Mini cassette recorder."
walter's voice,Now you're mad at me.
will,Goddammit!
fred,Forget your pager?
will,What?
fred,I beeped you over two hours ago.
will,Good.
fred,And something else that might interest you.
will,No.
fred,One of the paperbacks we found in Kay Connell's knapsack.
will,That's right.
fred,Mrs. Connell found this copy in the house.  It's signed.  Personally.
will,So?
fred,This is a local writer.  Kay had all his books.  I think we should check it out.
will,I don't think it'll lead anywhere.
old lady,I don't think you should move.
old lady,You sure you're okay?
will,I'm fine.
old lady,Careful not to bleed on my interior.
will,Walter Byrd.
walter,When I was seven my mother and grandmother took me to Vancouver.  We were walking along the street one day when these two men ran past and snatched my grandmother's purse right from under her arm.  Right from under her arm.  That night a police officer came to our hotel room to ask us questions.  Stood the whole time.
walter,You know this glacier moves a quarter of an inch every day?
will,You think this is a nice meeting we're having here?  Friendly?  Two people getting acquainted?  Huh?
will,That was an accident!  You hear me?  I didn't know it was him!  I didn't know it was him!
walter,Then why lie about it?
will,"What's your game, Byrd?"
walter,No game.
will,The phone call.  The knapsack.
walter,"I figured we're partners on this one.  I mean, after what I saw..."
will,"Let's get one thing straight, Byrd.  We are partners on nothing."
walter,"I research my novels.  I know the procedures.  You'd have cuffed me back at the ferry.  You'd have called for back- up, read me my rights, and gotten a search warrant for my apartment.  You're a well-respected detective.  There's no reason for you to be talking to me right now..."
will, You're going to get a phone call.
walter,I'm sorry?
will,I said you're going to get a phone call.
will,Kay Connell had a signed copy of one of your books.
walter,Thought you might find that.
will,You're going to be brought in for questioning.
walter,Down at the station?
will, Yes down at the station.
walter,Okay.  Okay.  Brought in for questioning. Good.  I can write this.
will,"What do you mean, ""wild card?"""
walter,Next ferry's in forty-five minutes.
will,"What do you mean ""wild card?"""
walter,You'll know.  At the questioning.
ticket taker, Full up.
will,I have a cold.
ellie,Which way are you walking?
will,Back to the Lodge.
ellie,I needed to get your signature on something.
will,I trust you.
will,Duggar called him?
ellie,About an hour ago.  Said he was more than happy to cooperate.
will,Not really.
ellie,"Isn't that the difference between a good cop and a bad cop?  A good cop can't sleep 'cause a piece of the puzzle's missing.  A bad cop can't sleep 'cause his conscience won't let him.  You said that once, remember?"
will,No.  But it sounds like something I would've said.
ellie,Oh!  I forgot to tell you.  The Puffins won.
will," Listen to me, you son-of-a-bitch..."
recorded voice,...I saw you look right into his eyes and shoot him...
will,"Goddammit, Byrd!"
walter,"You'd have done the same thing, Will.  I know you would..."
will,I didn't know!
hap,"You sure about that, buddy?"
will,Fuck!
rachel, Will...I...
will,What is it?
rachel,There's a guy down the hall.  Complaining about the noise.  Says he can't sleep.
rachel,Are you alright?
will,I'm fine.
rachel,Did something happen?
will,No.
rachel,Will...
will,The light.  It keeps coming in...
rachel,Will.
will,There was this guy named Weston Dobbs. Twenty-four.  Worked as a part-time stock boy in a copy store.  Every morning he'd sit at the only window in his apartment and watch an eight year-old boy get picked up by his carpool across the street.  And every afternoon he'd watch the boy get dropped off again.  He did this for about six months.  Until one day he got up the nerve to cross the street and grab the boy before his carpool came. Kept him in his apartment for three days. Tortured him.  Raped him.  Made him do things...
rachel,One of your cases?
will,"Me and Hap.  A year and a half ago.  I knew the second I met Dobbs that he was guilty.  Smug, cold.  Dead eyes.  We had circumstantial evidence, but nothing to tie him to it.  Nothing concrete.  Went over every inch of that apartment."
rachel,What happened?
will,We took some blood samples from the boy's body and planted them in his apartment.  Arrested him the next day.
rachel,Will.
will,There've been other cases.  Where we've changed results.  Pushed witnesses. Manipulated evidence.  But Dobbs.  I wanted Dobbs more than anything.
rachel,What if someone finds out?
will,We're under investigation now.  Back in Seattle.  Hap wanted to talk.  As soon as we got back.  Thought he could work out some kind of deal.
rachel,"Well, that's not going to happen now."
will,Do you think it was wrong?  What we did?
rachel,"There are two kinds of people in Alaska. Those who were born here and those who've come here to escape something in their lives.  I wasn't born here, Will.  I'm in no position to judge anyone.  I'm not about that any more."
fred,In what manner?
walter,"She was, not quite a ""fan.""  More an avid reader of my detective novels."
ellie,When did you first meet her?
walter,A year ago.  At one of my signings.
fred,Where you signed this?
walter,That's right.
fred,What happened at that signing?
walter,She flattered me about my writing.  Asked if she could visit me.  To talk about my books.
fred,Did she?
walter,Yes.  Not that much at first.  But then she became more comfortable.  Started visiting me every week...
will,What was the nature of your relationship?
walter,"What do you mean, Detective Dormer?"
will,She was an attractive girl.  Did you have sex with her?
walter,She was only seventeen.
will,But she was an attractive girl.
walter,I suppose.
will,Did you have sex with her?
walter,No.
will,But you wanted to.
walter,I was a mentor to her.
will,You gave her gifts.
walter,Yes.
will,Expensive dresses.  A heart necklace.
walter,Yes.
will,Doesn't sound like a mentor to me.
walter,I gave her things she didn't have. Couldn't have.
fred,"We understand, Mr. Byrd.  You want to sit down, Detective?"
walter,She wasn't happy.  I was someone to talk to.
fred,How do you mean?
walter,That boyfriend.  Randy.
fred,Randy Stetz?
walter,That's right.
will,What about him?
walter,"He.  Well, he..."
fred,Mr. Byrd.  Anything you can tell us could help out with this case.
walter,Well.  He hit her.
fred,Are you sure about that?
walter,"She'd come to me, sometimes in the middle of the night.  Bruises all over her back, her upper arms.  I pled with her to let me call the police, but she wouldn't hear it.  Wanted to keep it a secret."
ellie,Randy Stetz beat Kay Connell?
fred, Ellie.
walter,He has a terrible rage.  Kay even said he carried a handgun around with him.
fred,Margaret!  Get Judge Biggs on the phone!  I'll get another warrant for Stetz's place.
walter,"Could I have some more coffee, Detective Burr?"
fred,"C'mon, Randy."
randy,I swear to God.  I didn't kill her.  I swear to God...
fred,"You look like shit, cowboy."
will,That's an understatement.
fred,Looks like we can wrap this one up.
rich,"What do you mean, you can't believe it?"
francis,He was an asshole.
farrell,That doesn't mean anything.
fred,Didn't you grow up with him?
farrell,Our dads were on the same boat.  We used to wait for them together.
francis,He used to pick fights at the gas station.
rich,And remember when he did all those donut holes that one summer?
fred,Just a bad seed.
farrell,How do you like our beer?
will,I like it fine.
fred,What Detective Dormer needs is a little shut-eye.
rich,The white nights been hard on you?
will,They haven't been easy.
francis,They don't have titanium shades over at the Pioneer.
rich,Well no wonder.
francis,You lose all sense of time.
farrell,Better than Fred's home town.
fred,My people are from Barrow.  Way up north.
rich,In the winter there's no sunlight for five straight months.
fred,Like being swallowed up in a black hole.
fred,Nancy Drew!  Pull up a seat!
francis,"You hear what happened, Ellie?"
ellie,Yeah.
rich,Pretty cool.
farrell,Rich found the gun.
ellie,I know.  I heard.
fred,Something's on Nancy's mind.
ellie,I found this out on the beach.
farrell,What is it?
ellie,Shell casing.  9mm.
francis,"Let it go, Ell.  We got the bad guy."
ellie,None of us carries a 9mm duty weapon.
rich,"Get a hobby, will ya?"
ellie,"It's a legitimate point, isn't it, Detective Dormer?"
will,It's legitimate.
ellie,Worth pursuing?
will,"The case is closed, Ellie.  I got the next round."
ellie,"Me, Pop!"
ellie's dad,Ellie?  You okay?
ellie,Where's all my academy stuff?
walter," Hi, Will..."
will,What the hell are you doing calling me at the station?
walter,I figured we should touch base.  Compare notes.  I think it went well.  What did you think?
will,Randy Stetz is in jail.
walter,Told you I could write an ending.
will,Congratulations.
walter,I thought maybe we could talk some more.
will,There's nothing more to talk about.
walter,But we work so well together...
will,We do nothing well together.  Nothing!  You understand me?
walter,"You run on two settings, Will.  I've noticed that..."
will,What the hell do you know?
walter,"Kay told me.  She comes to me, you know. Tells me things.  About you.  About me."
walter,Then so was mine...
will,Don't you pull that shit with me.
walter,"I didn't want to kill her, Will."
will,"Couldn't get it up, Walter?"
walter,It was when I went to kiss her.  She started laughing.  I got angry.  After all I'd given her.  All I'd shared with her.  I just wanted to make her stop. That's all.
will,Like this?
walter,Yes.  Like that.
will,"This an accident, Walter?"
walter,If you want it to be...
will,It took ten minutes to beat Kay Connell to death.  Ten minutes.
walter,I have a summer house up by Kgun Lake. I'm going to write my next novel there. It's about a famous detective who goes bad.
will,Six-thirty.
fred,If Spencer's not too drunk to fly.
chief nyback,Can't talk you into staying for a couple of days?  Do some fishing?  Show you what normally goes on around here.
will,I have to get back.
chief nyback,Too bad...
will,Had a lot of help from Nightmute's finest.
ellie,Didn't want to miss anything.
chief nyback,Detective Dormer's not leaving for a few hours.
ellie,Good.
chief nyback,Maybe you could drive him to Spencer's.
ellie,Sure.
rachel,I found a new friend.
ellie,"Very funny, Farrell..."
ellie,"Hi, Rachel."
rachel,I would have seen if he came back.
ellie,Detective Dormer?
rachel,What is all this?
will,No.
walter,Where's your back-up?
will,No back-up.
walter,You're not following procedure.
will,Procedure went out the window a long time ago.
walter,"We're on the same side, Will.  You know that.  After what we've been through together.  We're partners.  Bound by a secret."
will,"That's where you're wrong, Walter."
walter,"You give the police a bad name, Will."
ellie,Shit!
will, Walter?
walter,Wild card.
will,"Drop the gun, Walter."
walter,"That jammed the last time, remember?"
will,Another J. Brody mystery.
will,"God, you're a pain in the ass."
ellie,You're shot.
will,"You, too."
ellie,I'm going to make a tourniquet.
will,Walter Byrd killed Kay Connell.  Her things are in the house.
ellie,I know.
will,Byrd's dead.
ellie,"You shot Detective Eckhart, didn't you?"
will,Yes.
ellie,Did you mean to?
will,No.  But I covered it up.  I lied.
ellie,Why?
will,"Because I just couldn't be wrong.  Don't ever get that way, Ellie.  Don't ever lose your way.  It blurs the line."
ellie,This one looks worse.
will," Just let me sleep, Ellie..."
ellie,No!
will,What about your shoulder?
ellie,Don't worry.  I'll have a cool scar.
