Speaker,Dialogue
the colonel,"I think that was his name, yes."
caesar,He... was a friend.
the colonel,He said you were remarkable.   More than just an animal... 
caesar,What... happened to this man?
the colonel,I shot him.
rocket,[...What was that?]
rocket,[Do you think he knows we're up to something?]
caesar, [Wait till he turns out his lights.]
rocket,[The sun will be up soon...]
caesar,[We go now. Or die trying.]
caesar," I love you, son..."
bad ape,"It's ok, little ones... come, come."
bad ape,Go!   Go go go...!
rocket,[Hurry!   Let's go!]
caesar,"By the time the sun rises, you'll all be on your way... to a new home.  Hurry, you must go."
rocket,[Without you? No...]
caesar,Maurice was right. I am like Koba. He could not escape his hate...  And I still cannot escape mine. He took too much from me.
soldier,Holy shit -- they're here!!!
preacher,Jesus Christ...
bad ape,Hurry!   Go go go!
rocket,[Let me through!]
gunner, LOOK!!! THE APES!!!
gunner,"Kill them, man!!!   Kill them all!!!"
caesar,Don't worry... You are all home now. Apes are strong. With... or without me.
maurice, Son will know... who was father... and what Caesar... did... for us.
