Speaker,Dialogue
anne," As Queen, my mind touches on many subjects. CONSTANCE Do your knees feel as weak as water? ANNE Never. CONSTANCE When he looks at you, do you forget how to breathe? A beat. And Anne is a girl of eighteen again, not Queen. Wistful, she replies: ANNE I hope he will someday.   I hope I will too. HOLD ON Anne for a beat."
anne,Cardinal.
richelieu,I need your help. And could not in good conscience wait another minute.
anne,You want my help? RICHELIEU Yes.
anne,On what matter? RICHELIEU Your... husband. ANNE  Your King.
richelieu,"The Huguenot rebellion, occupation in the Antilles and Cayenne. The coming war with France. These are not the usual hobbies of youth. ANNE No. "
richelieu,He feels it is not... appropriate. ANNE It sounds as though he is concerned with more important matters.
richelieu,"Which is exactly why we must celebrate.  He will listen to you. If you will speak. Richelieu makes his case with forceful eloquence, seeming loyalty. Anne considers, replies, noncommittal: ANNE I will speak to him. Anne senses hidden agenda, intrigues below the surface. The conversation's conspiratorial tone begins to disturb her."
anne,"Now, if you'll excuse me, I... RICHELIEU Of course. Anne nods, turns back toward the chambers.       Richelieu calls after."
richelieu,Your Majesty? 
louis,Why is it I don't see any of my Musketeers?
richelieu,I'm afraid... that's impossible. LOUIS Why? 
louis,There must be some mistake.
richelieu,No mistake. I have reports from the local constables involved.
louis,"Your Eminence, I've been hearing some very troubling rumors about you."
louis,I've been thinking about that. A birthday celebration when we're on the brink of war...
richelieu," Your subjects are eager to celebrate the birth of their King at a time like this. LOUIS I'm not so eager. RICHELIEU I have an idea. Why don't you discuss the matter with your Queen? Louis looks up, wonders. As Richelieu draws him deeper into his spider's strategems."
aramis," Ten, twenty at the most."
ferryman,A privilege to carry you on my humble boat... The Ferryman turns a greedy eye on the Woman and child. FERRYMAN Two pistoles.
woman,But I only have one. Couldn't my child ride free? She's so small... FERRYMAN  Two pistoles. A courtly voice intervenes.
aramis,"Put away your money, madame. You and your child will cross the river under our protection. For free. "
aramis,Porthos! PORTHOS What? Aramis takes Porthos by the shoulder and turns him so he can see their pursuers pouring over the top of the hill on their horses. PORTHOS We sail!
91.,96   FLATBOAT                                                   96 Porthos laughs and taunts the angry pursuers. Aramis ties scarves around the horses' eyes to blindfold them for the crossing. Then he turns around and sees what Aramis is already seeing -- the two Cavaliers watch them with keen interest. FIRST CAVALIER You're those Musketeers everyone's been looking for.
porthos,Popularity has its price.
second cavalier,I'm listening.
porthos,"Let's see. You are, by your dress and by your manner, members of a bone-lazy class of servile ninnyhammers whose slavish allegiance to His Eminence the Cardinal is as that of a dog who likes nothing better than to sniff today where he has peed the day before. "
