Speaker,Dialogue
lilly,Jones! And we can't make it too hard. He has to be able to get in. He can't suspect anything.
lilly, That's the way it will be. I'm the bait.
steph,"Help me. Please, I'm sick. Help me."
freddy,Don't fucking touch me.
freddy,Hey!
freddy, Where've you gone now?
jones,What are you doing?
lilly,What is it? Jones?
silus,Stay here.
jones,"Get back here, Lilly!  But Lilly shoves him off, opens the door and moves into the hall and waits. 77"
lilly,Cover me.
edgar,You saved me...
edgar, When will you admit it. You're just like me.
edgar, Maybe you need some encouragement.
lilly, Get him down.
jones,"Lilly, wait! Damn you. Lilly!"
lilly,"If he escapes then Steph is dead. Just follow me when you can, hurry!"
edgar,The little policewoman.
lilly,Don't move!
lilly," I said don't move. Where is she, where's the girl?"
edgar,"Oh, I've killed her already. Essentially."
edgar," Has he tasted you yet, little policewoman?"
edgar," He's just the same as me, you know it, you can feel it too."
lilly,He's nothing like you.
edgar,We will see. You will be my tool.
jump cut:,80
jones,You happy now?
freddy,"You scared the shit out of me. Hey, the police woman. She's real sick. To tell the truth I don't feel so hot myself."
edgar,I want you to take her and put her where they'll find her.
freddy,But I'm sick. She's given me something...
edgar,What have I said to you?
edgar, I hate arguments.
jones,"Stephanie Richards, you just brought her in."
nurse,Thank god you're here.
jones,Will she recover?
doctor,"No. Containment is the issue now. She is... insane. And we've had more cases, 10 in the last hour."
jones,What is this? What is it?
silus,It comes from Edgar. He has shared his blood with them.
jones,You're telling me that he's out there spreading this around?
jones, He'll give it to Lilly!
dominic,Jones! Back off.
dominic, This is spreading.
dominic, Brother Silus?
jones,"That's it, Lilly's dead."
silus,No. He will keep her alive.
dominic,Why?
silus,So that I will come for him. That's what he wants.
dominic,"It says, ""Everything flows from me. My blood will change the world."" What does that mean?"
edgar,"It almost sounds like children playing, don't you think?"
lilly,No.
edgar,I looked at your body. You have borne a child.
edgar, Did you abandon it? Your kind are good at that.
lilly,Why don't you just kill me?
lilly, Kill me!
edgar,"I can see why he likes you. But I have a better use for you. To save you, Silus will take my blood. Join me."
lilly,You're insane.
edgar,The world is insane. I am better than you. But they force me to serve you. Does that happen in a sane world? Forced to watch you waste the most precious thing you have. Life.
edgar," Do you know what they do to us when we are born? They take us from our mothers. Force us into a life of loneliness, and denial. Can you imagine a life like that?"
lilly,You don't have to do this. You can change things.
edgar,You have reminded me of something.
edgar," I must search out my mother, if she still lives. And kill her for what she did. 86"
reporter," Some say this plague is the result of genetic experimentation, by the Brothers. Do you have a comment?"
health official, We're asking everyone to stay in their homes in the sections of Jamestown now under quarantine.
reporter, There are reports of residents being shot trying to escape the quarantine zone. Is that true? They say the Queen has left the city... Is this martial law?
soldier,"We've blocked off this section, and here, containing the Jamestown slums.  We see the soldier outlining the Quarantine zone, marked in red."
edgar," Do you like the world I am making for us, Silus? I haven't had your little policewoman yet. But I will soon. You'll just have to find me. You know where I am. Everything flows from me. Remember that..."
augustus,The infection is spreading. Each day he shares his blood with more of them. Even though they are locked in their homes. 89
silus,He is somewhere in the quarantine zone. I will find him.
augustus,Clear. So very clear your eyes. The way they were when you were born. There will be no search.
silus,No search?
augustus,The Queen has instructed the government to evacuate the city around the quarantine zone. In another day they will take action.
silus,What kind of action?
augustus,Eradication. Of everything within the area. They will burn it all. Including Edgar.
silus,"And the innocents there, who are not infected?"
augustus,It is a necessary step. We cannot let this escape.
silus,No!
augustus,Is it the policewoman? Is this affecting your thinking? There is no love for our kind Silus. Only service.
silus,"We have done this. Released this thing into the world. We have betrayed their trust in us, more than once. I won't do it again."
augustus,"There is no debate. They will be sacrificed, so the rest will be pure."
augustus," This policeman, Jones. He talked to the press. Told them this came from Edgar."
augustus, There are members of the inner circle who question the way you have handled this. Blame you for this man's actions. I have made it clear that you will fix this. That you will silence him.
augustus, These are hard things we do. But you must think of the greater good. And of your own future.
jones,Great.
jones, Come on then...
jones,What do you want?
silus,I want to help you. They know you talked to the press.
jones,"They can fuck off. For that matter, so can you."
jones, You'd be the last person I'd trust.
silus,Why?
jones,"I saw you. Remember. Watching Lilly, when she was asleep."
jones, Maybe you're just like your Brother. Maybe you're helping him. Now there's a thought.
jones, Do you know where she is?
jones," You've changed. Not the outside. But inside. I know you. You know what, I can see myself?"
jones, Coffee's ready.
edgar, You know where I am. Everything flows from me...
silus,Do you have a map?
jones,There's the quarantine zone. It's a pit. Slums.
silus,The water supply. Where is it?
jones,"There, all the old suburbs are supplied by their own artesian wells. Mineral springs. That's why it hasn't broken out of Jamestown, it's the water. Jamestown's water."
silus,"He is there, with Lilly."
jones,"You'll never get in, they've circled the whole borough."
silus,I will get in. You must go to the press. Tell them about the water. Tell them what the government will do.
jones,You're dead after this. You know that? Whatever happens.
silus,"Watch for me, Officer Jones. 95"
priest 2,"Who has done this, Brother?"
silus,We have. To our shame. 96
priest 2,I have something to show you.
priest 2,"It is a miracle my Brother. She is a female, the first of our kind."
silus,She must be protected.
silus, I would ask for your help Brother. The Church can no longer be trusted...
edgar,He's coming little one. He's coming for you.
lilly,No.
lilly, Hello! I'm down here. Silus...
silus,Lilly?
edgar,"It is a maze down here. But given time, that thing will find her. Do things to her. I'll show you where she is, if you take some."
edgar, You're almost there anyway.
lilly,Silus... 101
edgar,"If I burn the skin from your face, I wonder how that would be. If you looked like a monster..."
lilly,What is it?
silus,In there.
lilly,Is there something wrong?
silus,No.
silus," There is something very precious. You must take it, keep it secret. Don't let them touch it."
lilly,I don't understand.
silus,You will. 105
silus, Hurry.
priest 2,The first female of her kind. The first daughter given to us.
priest 2, Come. Before they find her.
priest 2,We must go.
lilly," For me, everything has changed now. Because of Silus I see the world through new eyes."
lilly," Now I see hope, and I see a child, the first female of her kind."
lilly," Perhaps Edgar got what he wanted after all, because it time this child will truly change our world. 107"
