	Movie	Genre	Writer	Title	Path
118	Back-up Plan, The	['Comedy', 'Romance']	['Kate Angelo']	Back-up_Plan	../data/scraping/texts/Back-up_Plan.txt
119	Backdraft	['Action', 'Drama', 'Mystery', 'Thriller']	['Gregory Widen']	Backdraft	../data/scraping/texts/Backdraft.txt
120	Bad Boys	['Action', 'Comedy']	['Michael Barrie', 'Jim Mulholland', 'Doug Richardson']	Bad_Boys	../data/scraping/texts/Bad_Boys.txt
121	Bad Country	['Action', 'Crime', 'Drama']	['Jonathan Hirschbein']	Bad_Country	../data/scraping/texts/Bad_Country.txt
122	Bad Day at Black Rock	['Drama', 'Thriller', 'Western']	['Don McGuire', 'Millard Kaufman', 'Howard Breslin']	Bad_Day_at_Black_Rock	../data/scraping/texts/Bad_Day_at_Black_Rock.txt
123	Bad Dreams	['Horror', 'Thriller']	['Andrew Fleming', 'Steven E. de Souza']	Bad_Dreams	../data/scraping/texts/Bad_Dreams.txt
124	Bad Lieutenant	['Crime', 'Drama']	['Abel Ferrara', 'Zoe Lund']	Bad_Lieutenant	../data/scraping/texts/Bad_Lieutenant.txt
125	Bad Santa	['Comedy', 'Crime']	['Glenn Ficarra', 'John Requa']	Bad_Santa	../data/scraping/texts/Bad_Santa.txt
126	Bad Teacher	['Comedy']	['Lee Eisenberg', 'Gene Stupnitsky']	Bad_Teacher	../data/scraping/texts/Bad_Teacher.txt
127	Badlands	['Crime', 'Thriller', 'Drama']	['Terence Malick']	Badlands	../data/scraping/texts/Badlands.txt
128	Bamboozled	['Comedy', 'Drama']	['Spike Lee']	Bamboozled	../data/scraping/texts/Bamboozled.txt
129	Barry Lyndon	['Drama', 'Romance', 'War']	['Stanley Kubrick']	Barry_Lyndon	../data/scraping/texts/Barry_Lyndon.txt
130	Barton Fink	['Comedy', 'Drama', 'Thriller']	['Joel Coen', 'Ethan Coen']	Barton_Fink	../data/scraping/texts/Barton_Fink.txt
131	Basic	['Drama', 'Mystery', 'Thriller']	['James Vanderbilt']	Basic	../data/scraping/texts/Basic.txt
132	Basic Instinct	['Crime', 'Mystery', 'Thriller']	['Joe Eszterhas']	Basic_Instinct	../data/scraping/texts/Basic_Instinct.txt
133	Basquiat	['Drama']	['Julian Schnabel']	Basquiat	../data/scraping/texts/Basquiat.txt
134	Batman	['Action', 'Crime', 'Fantasy', 'Thriller']	['Sam Hamm', 'Warren Skaaren']	Batman	../data/scraping/texts/Batman.txt
135	Batman 2	['Action', 'Crime', 'Fantasy', 'Thriller']	['Sam Hamm']	Batman_2	../data/scraping/texts/Batman_2.txt
136	Battle of Algiers, The	['Drama', 'War']	['Gillo Pontecorvo', 'Franco Solinas']	Battle_of_Algiers	../data/scraping/texts/Battle_of_Algiers.txt
137	Battle of Shaker Heights, The	['Drama', 'Romance', 'Comedy']	['Erica Beeney']	Battle_of_Shaker_Heights	../data/scraping/texts/Battle_of_Shaker_Heights.txt
138	Battle: Los Angeles	['Action', 'Sci-Fi']	['Chris Bertolini']	Battle:_Los_Angeles	../data/scraping/texts/Battle:_Los_Angeles.txt
139	Beach, The	['Drama', 'Adventure', 'Thriller']	['Alex Garland', 'John Hodge']	Beach	../data/scraping/texts/Beach.txt
140	Bean	['Comedy']	['Richard Curtist', 'Robin Briscoll']	Bean	../data/scraping/texts/Bean.txt
141	Beasts of No Nation	['Drama', 'War']	['Cary Joji Fukunaga']	Beasts_of_No_Nation	../data/scraping/texts/Beasts_of_No_Nation.txt
142	Beasts of the Southern Wild	['Drama', 'Fantasy']	['Lucy Alibar', 'Benh Zeitlin']	Beasts_of_the_Southern_Wild	../data/scraping/texts/Beasts_of_the_Southern_Wild.txt
143	Beauty and the Beast	['Family', 'Fantasy', 'Musical']	['Stephen Chbosky', 'Evan Spiliotopoulos']	Beauty_and_the_Beast	../data/scraping/texts/Beauty_and_the_Beast.txt
144	Beavis and Butt-head Do America	['Animation', 'Comedy']	['Mike Judge', 'Joe Stillman']	Beavis_and_Butt-head_Do_America	../data/scraping/texts/Beavis_and_Butt-head_Do_America.txt
145	Beginners	['Comedy', 'Drama', 'Romance']	['Mike Mills']	Beginners	../data/scraping/texts/Beginners.txt
146	Being Human	['Comedy', 'Drama', 'Fantasy']	['Bill Forsyth']	Being_Human	../data/scraping/texts/Being_Human.txt
147	Being John Malkovich	['Comedy', 'Fantasy']	['Charlie Kaufman']	Being_John_Malkovich	../data/scraping/texts/Being_John_Malkovich.txt
148	Being There	['Comedy', 'Drama']	['Jerry Kosinski', 'Robert C. Jones']	Being_There	../data/scraping/texts/Being_There.txt
149	Believer, The	['Drama']	['Henry Bean', 'Mark Jacobson']	Believer	../data/scraping/texts/Believer.txt
150	Belle	['Drama', 'Romance']	['Misan Sagay']	Belle	../data/scraping/texts/Belle.txt
151	Beloved	['Drama']	['Richard LaGravenese', 'Toni Morrisson']	Beloved	../data/scraping/texts/Beloved.txt
152	Best Exotic Marigold Hotel, The	['Comedy', 'Drama']	['Ol Parker']	Best_Exotic_Marigold_Hotel	../data/scraping/texts/Best_Exotic_Marigold_Hotel.txt
153	Big	['Comedy', 'Family', 'Fantasy']	['Gary Ross', 'Anne Spielberg']	Big	../data/scraping/texts/Big.txt
154	Big Blue, The	['Drama', 'Romance']	['Luc Besson', 'Robert Garland']	Big_Blue	../data/scraping/texts/Big_Blue.txt
155	Big Eyes	['Crime', 'Drama']	['Scott Alexander', 'Larry Karaszewski']	Big_Eyes	../data/scraping/texts/Big_Eyes.txt
156	Big Fish	['Drama', 'Fantasy', 'Comedy', 'Adventure']	['Daniel Wallace', 'John August']	Big_Fish	../data/scraping/texts/Big_Fish.txt
157	Big Lebowski, The	['Comedy', 'Mystery', 'Thriller']	['Joel Coen', 'Ethan Coen']	Big_Lebowski	../data/scraping/texts/Big_Lebowski.txt
158	Big Sick, The	['Comedy', 'Drama', 'Romance']	['Emily V. Gordon', 'Kumail Nanjiani']	Big_Sick	../data/scraping/texts/Big_Sick.txt
159	Big White, The	['Comedy', 'Crime', 'Drama']	['Collin Friesen']	Big_White	../data/scraping/texts/Big_White.txt
160	Birdman	['Comedy', 'Drama', 'Romance']	['Alejandro G. Inarritu', 'Nicolas Giacobone', 'Alexander Dinelaris Jr.', 'Armando Bo']	Birdman	../data/scraping/texts/Birdman.txt
161	Birds, The	['Drama', 'Horror', 'Thriller', 'Romance']	['Daphne Du Maurier', 'Evan Hunter']	Birds	../data/scraping/texts/Birds.txt
162	Birthday Girl	['Comedy', 'Drama', 'Romance', 'Crime']	['Tom Butterworth', 'Jez Butterworth']	Birthday_Girl	../data/scraping/texts/Birthday_Girl.txt
163	Black Dahlia, The	['Crime', 'Drama', 'Mystery', 'Thriller']	['Josh Friedman', 'James Ellroy']	Black_Dahlia	../data/scraping/texts/Black_Dahlia.txt
164	Black Panther	['Action', 'Adventure', 'Sci-Fi']	['Ryan Coogler', 'Joe Robert Cole']	Black_Panther	../data/scraping/texts/Black_Panther.txt
165	Black Rain	['Action', 'Crime', 'Drama']	['Craig Bolotin', 'Warren Lewis']	Black_Rain	../data/scraping/texts/Black_Rain.txt
166	Black Snake Moan	['Drama']	['Craig Brewer']	Black_Snake_Moan	../data/scraping/texts/Black_Snake_Moan.txt
167	Black Swan	['Drama', 'Mystery', 'Thriller']	['Mark Heyman', 'Andres Heinz', 'John McLaughlin']	Black_Swan	../data/scraping/texts/Black_Swan.txt
168	BlacKkKlansman	['Crime', 'Drama']	['Charlie Wachtel', 'David Rabinowitz', 'Kevin Willmott', 'Spike Lee']	BlacKkKlansman	../data/scraping/texts/BlacKkKlansman.txt
169	Blade	['Action', 'Horror', 'Sci-Fi']	['David S. Goyer']	Blade	../data/scraping/texts/Blade.txt
170	Blade II	['Action', 'Horror', 'Thriller']	['David S. Goyer']	Blade_II	../data/scraping/texts/Blade_II.txt
171	Blade Runner	['Action', 'Drama', 'Sci-Fi']	['Hampton Fancher', 'David Peoples']	Blade_Runner	../data/scraping/texts/Blade_Runner.txt
172	Blade: Trinity	['Action', 'Fantasy', 'Horror', 'Thriller']	['David S. Goyer']	Blade:_Trinity	../data/scraping/texts/Blade:_Trinity.txt
173	Blast from the Past, The	['Comedy', 'Drama', 'Romance']	['Bill Kelly', 'Hugh Wilson']	Blast_from_the_Past	../data/scraping/texts/Blast_from_the_Past.txt
174	Blind Side, The	['Drama']	['John Lee Hancock', 'Michael Lewis']	Blind_Side	../data/scraping/texts/Blind_Side.txt
175	Bling Ring, The	['Crime', 'Drama']	['Sofia Coppola']	Bling_Ring	../data/scraping/texts/Bling_Ring.txt
176	Blood and Wine	['Thriller', 'Crime', 'Drama']	['Nick Villiers']	Blood_and_Wine	../data/scraping/texts/Blood_and_Wine.txt
177	Blood Simple	['Drama', 'Thriller']	['Joel Coen', 'Ethan Coen']	Blood_Simple	../data/scraping/texts/Blood_Simple.txt
178	Blow	['Crime', 'Drama']	['David McKenna', 'Nick Cassavetes']	Blow	../data/scraping/texts/Blow.txt
